"jahr","gemeinde_bfsnr","listen_code","listen_nr","waehlerproz"
2019,10261,"SVP",1,NA
2019,10261,"SP",2,NA
2019,10261,"FDP",3,NA
2019,10261,"GLP",4,NA
2019,10261,"Grüne",5,NA
2019,10261,"CVP",6,NA
2019,10261,"EVP",7,NA
2019,10261,"AL",8,NA
2019,10261,"EDU",10,NA
2019,10261,"PdA",13,NA
2019,20261,"SVP",1,NA
2019,20261,"SP",2,NA
2019,20261,"FDP",3,NA
2019,20261,"GLP",4,NA
2019,20261,"Grüne",5,NA
2019,20261,"CVP",6,NA
2019,20261,"EVP",7,NA
2019,20261,"AL",8,NA
2019,20261,"BDP",9,NA
2019,20261,"EDU",10,NA
2019,20261,"die Guten",12,NA
2019,20261,"PdA",13,NA
2019,60261,"SVP",1,NA
2019,60261,"SP",2,NA
2019,60261,"FDP",3,NA
2019,60261,"GLP",4,NA
2019,60261,"Grüne",5,NA
2019,60261,"CVP",6,NA
2019,60261,"EVP",7,NA
2019,60261,"AL",8,NA
2019,60261,"BDP",9,NA
2019,60261,"EDU",10,NA
2019,60261,"die Guten",12,NA
2019,60261,"PdA",13,NA
2019,30261,"SVP",1,NA
2019,30261,"SP",2,NA
2019,30261,"FDP",3,NA
2019,30261,"GLP",4,NA
2019,30261,"Grüne",5,NA
2019,30261,"CVP",6,NA
2019,30261,"EVP",7,NA
2019,30261,"AL",8,NA
2019,30261,"EDU",10,NA
2019,30261,"PdA",13,NA
2019,40261,"SVP",1,NA
2019,40261,"SP",2,NA
2019,40261,"FDP",3,NA
2019,40261,"GLP",4,NA
2019,40261,"Grüne",5,NA
2019,40261,"CVP",6,NA
2019,40261,"EVP",7,NA
2019,40261,"AL",8,NA
2019,40261,"BDP",9,NA
2019,40261,"EDU",10,NA
2019,40261,"Helvida",11,NA
2019,40261,"PdA",13,NA
2019,70261,"SVP",1,NA
2019,70261,"SP",2,NA
2019,70261,"FDP",3,NA
2019,70261,"GLP",4,NA
2019,70261,"Grüne",5,NA
2019,70261,"CVP",6,NA
2019,70261,"EVP",7,NA
2019,70261,"AL",8,NA
2019,70261,"BDP",9,NA
2019,70261,"EDU",10,NA
2019,70261,"Helvida",11,NA
2019,70261,"PdA",13,NA
2019,50261,"SVP",1,NA
2019,50261,"SP",2,NA
2019,50261,"FDP",3,NA
2019,50261,"GLP",4,NA
2019,50261,"Grüne",5,NA
2019,50261,"CVP",6,NA
2019,50261,"EVP",7,NA
2019,50261,"AL",8,NA
2019,50261,"EDU",10,NA
2019,50261,"PdA",13,NA
2019,80261,"SVP",1,NA
2019,80261,"SP",2,NA
2019,80261,"FDP",3,NA
2019,80261,"GLP",4,NA
2019,80261,"Grüne",5,NA
2019,80261,"CVP",6,NA
2019,80261,"EVP",7,NA
2019,80261,"AL",8,NA
2019,80261,"BDP",9,NA
2019,80261,"EDU",10,NA
2019,80261,"PdA",13,NA
2019,90261,"SVP",1,NA
2019,90261,"SP",2,NA
2019,90261,"FDP",3,NA
2019,90261,"GLP",4,NA
2019,90261,"Grüne",5,NA
2019,90261,"CVP",6,NA
2019,90261,"EVP",7,NA
2019,90261,"AL",8,NA
2019,90261,"BDP",9,NA
2019,90261,"EDU",10,NA
2019,90261,"PdA",13,NA
2019,241,"SVP",1,NA
2019,241,"SP",2,NA
2019,241,"FDP",3,NA
2019,241,"GLP",4,NA
2019,241,"Grüne",5,NA
2019,241,"CVP",6,NA
2019,241,"EVP",7,NA
2019,241,"AL",8,NA
2019,241,"BDP",9,NA
2019,241,"EDU",10,NA
2019,242,"SVP",1,NA
2019,242,"SP",2,NA
2019,242,"FDP",3,NA
2019,242,"GLP",4,NA
2019,242,"Grüne",5,NA
2019,242,"CVP",6,NA
2019,242,"EVP",7,NA
2019,242,"AL",8,NA
2019,242,"BDP",9,NA
2019,242,"EDU",10,NA
2019,243,"SVP",1,NA
2019,243,"SP",2,NA
2019,243,"FDP",3,NA
2019,243,"GLP",4,NA
2019,243,"Grüne",5,NA
2019,243,"CVP",6,NA
2019,243,"EVP",7,NA
2019,243,"AL",8,NA
2019,243,"BDP",9,NA
2019,243,"EDU",10,NA
2019,244,"SVP",1,NA
2019,244,"SP",2,NA
2019,244,"FDP",3,NA
2019,244,"GLP",4,NA
2019,244,"Grüne",5,NA
2019,244,"CVP",6,NA
2019,244,"EVP",7,NA
2019,244,"AL",8,NA
2019,244,"BDP",9,NA
2019,244,"EDU",10,NA
2019,245,"SVP",1,NA
2019,245,"SP",2,NA
2019,245,"FDP",3,NA
2019,245,"GLP",4,NA
2019,245,"Grüne",5,NA
2019,245,"CVP",6,NA
2019,245,"EVP",7,NA
2019,245,"AL",8,NA
2019,245,"BDP",9,NA
2019,245,"EDU",10,NA
2019,246,"SVP",1,NA
2019,246,"SP",2,NA
2019,246,"FDP",3,NA
2019,246,"GLP",4,NA
2019,246,"Grüne",5,NA
2019,246,"CVP",6,NA
2019,246,"EVP",7,NA
2019,246,"AL",8,NA
2019,246,"BDP",9,NA
2019,246,"EDU",10,NA
2019,247,"SVP",1,NA
2019,247,"SP",2,NA
2019,247,"FDP",3,NA
2019,247,"GLP",4,NA
2019,247,"Grüne",5,NA
2019,247,"CVP",6,NA
2019,247,"EVP",7,NA
2019,247,"AL",8,NA
2019,247,"BDP",9,NA
2019,247,"EDU",10,NA
2019,248,"SVP",1,NA
2019,248,"SP",2,NA
2019,248,"FDP",3,NA
2019,248,"GLP",4,NA
2019,248,"Grüne",5,NA
2019,248,"CVP",6,NA
2019,248,"EVP",7,NA
2019,248,"AL",8,NA
2019,248,"BDP",9,NA
2019,248,"EDU",10,NA
2019,249,"SVP",1,NA
2019,249,"SP",2,NA
2019,249,"FDP",3,NA
2019,249,"GLP",4,NA
2019,249,"Grüne",5,NA
2019,249,"CVP",6,NA
2019,249,"EVP",7,NA
2019,249,"AL",8,NA
2019,249,"BDP",9,NA
2019,249,"EDU",10,NA
2019,250,"SVP",1,NA
2019,250,"SP",2,NA
2019,250,"FDP",3,NA
2019,250,"GLP",4,NA
2019,250,"Grüne",5,NA
2019,250,"CVP",6,NA
2019,250,"EVP",7,NA
2019,250,"AL",8,NA
2019,250,"BDP",9,NA
2019,250,"EDU",10,NA
2019,251,"SVP",1,NA
2019,251,"SP",2,NA
2019,251,"FDP",3,NA
2019,251,"GLP",4,NA
2019,251,"Grüne",5,NA
2019,251,"CVP",6,NA
2019,251,"EVP",7,NA
2019,251,"AL",8,NA
2019,251,"BDP",9,NA
2019,251,"EDU",10,NA
2019,1,"SVP",1,NA
2019,1,"SP",2,NA
2019,1,"FDP",3,NA
2019,1,"GLP",4,NA
2019,1,"Grüne",5,NA
2019,1,"CVP",6,NA
2019,1,"EVP",7,NA
2019,1,"AL",8,NA
2019,1,"BDP",9,NA
2019,1,"EDU",10,NA
2019,2,"SVP",1,NA
